Country,Population,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Revovered,Active Cases,"Serious, Critical Cases",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop
Rwanda,13468126,129234,,"1,449 ",,45522,,82263,1,9596,108,4613062,342517
Jamaica,2981962,126589,,"2,708 ",,72219,,51662,25,42452,908,816101,273679
Cambodia,17091060,122742,274,"3,015 ",,118525,105,1202,,7182,176,2813769,164634
Guadeloupe,400234,119534,,808 ,,2250,,116476,21,298660,2019,855965,2138661
Trinidad and Tobago,1406780,118263,,"3,501 ",,93717,,21045,22,84066,2489,591666,420582
Cameroon,27607636,117676,,"1,907 ",,106050,,9719,13,4262,69,1751774,63453
China,"1,439,323,776 ",106764,101,"4,636 ",,100704,105,1424,5,74,3,160000000,111163
Martinique,374797,101298,,854 ,,104,,100340,26,270274,2279,645857,1723218
Angola,34508276,98474,,"1,897 ",,96162,,415,1,2854,55,1397845,40508
DRC,93934749,85743,,"1,316 ",,50930,,33497,,913,14,846704,9014
Senegal,17452846,85308,,"1,956 ",,82886,,466,5,4888,112,993224,56909
Malawi,19924190,84936,,"2,586 ",,71537,,10813,67,4263,130,536455,26925
Iceland,344806,83942,,52 ,,74157,,9733,2,243447,151,1650447,4786596
Ivory Coast,27427869,81040,,789 ,,78844,,1407,,2955,29,1376066,50170
French Guiana,311121,77088,,384 ,,11254,,65450,14,247775,1234,578809,1860398
Suriname,595087,76703,205,"1,294 ",3,49305,3,26104,13,128894,2174,222612,374083
Malta,443435,69651,,576 ,,66722,,2353,4,157071,1299,1211456,2731981
Eswatini,1179486,68727,,"1,381 ",,67085,,261,11,58269,1171,465363,394547
Fiji,906895,63476,17,819 ,3,61593,,1064,,69993,903,494144,544875
Guyana,792658,62061,,"1,188 ",,57729,,3144,17,78295,1499,522229,658833
Madagascar,28834814,61434,,"1,307 ",,54687,,5440,224,2131,45,379426,13159
Sudan,45494540,59455,,"3,764 ",,40329,,15362,,1307,83,562941,12374
Mauritania,4846019,58542,,971 ,,57099,,472,30,12080,200,710969,146712
Cabo Verde,565700,55827,,398 ,,55319,,110,23,98687,704,400982,708824
Belize,409233,54973,,631 ,,49625,,4717,4,134332,1542,480538,1174241
Syria,18183804,52378,,"3,020 ",,41927,,7431,,2880,166,146269,8044
French Polynesia,283520,51723,,636 ,,N/A,N/A,N/A,7,182432,2243,,
Barbados,287941,50477,,291 ,,38194,,11992,,175303,1011,560845,1947777
Gabon,2310130,47399,,302 ,,43508,,3589,4,20518,131,1553431,672443
